card_id	quantity	language	set_code	set_name	card_number	card_name	pokemon_name	rarity	holo_pattern	listing_count	p25_total	median_total	min_total	max_total	estimated_shipping	LISTING_PRICE	unit_gross_after_shipping	unit_marketplace_fee	unit_net_after_fee	total_gross_after_shipping	total_marketplace_fee	total_net_after_fee	snapshot_created_at
603	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0206/07	Hisuian Growlithe	Hisuian Growlithe	Double Rare		10	$3.75	$4.58	$2.24	$7.98	$1.00	$2.75	$2.75	$0.36	$2.39	$5.50	$0.72	$4.78	2026-06-04 14:50:51
605	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0301/07	Magneton	Magneton	Common		8	$2.16	$2.71	$1.99	$3.91	$1.00	$1.00	$1.00	$0.13	$0.87	$5.00	$0.65	$4.35	2026-06-04 14:50:51
606	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0302/07	Magneton	Magneton	Common		13	$2.00	$2.49	$1.99	$3.24	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
607	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0303/07	Magneton	Magneton	Uncommon		4	$3.04	$4.08	$1.99	$4.08	$1.00	$2.00	$2.00	$0.26	$1.74	$12.00	$1.56	$10.44	2026-06-04 14:50:51
608	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0304/07	Magneton	Magneton	Uncommon		11	$2.18	$4.08	$1.89	$16.53	$1.00	$1.00	$1.00	$0.13	$0.87	$6.00	$0.78	$5.22	2026-06-04 14:50:51
609	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0305/07	Magneton	Magneton	Rare		9	$3.15	$5.18	$2.00	$5.98	$1.00	$2.00	$2.00	$0.26	$1.74	$8.00	$1.04	$6.96	2026-06-04 14:50:51
610	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0306/07	Magneton	Magneton	Double Rare		7	$5.06	$5.49	$4.63	$5.99	$1.00	$4.00	$4.00	$0.53	$3.47	$12.00	$1.59	$10.41	2026-06-04 14:50:51
612	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0401/07	Chansey	Chansey	Common		7	$1.99	$2.37	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
613	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0402/07	Chansey	Chansey	Common		9	$2.74	$2.99	$1.99	$3.91	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
615	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0404/07	Chansey	Chansey	Uncommon		7	$2.99	$4.08	$1.99	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$7.00	$0.92	$6.08	2026-06-04 14:50:51
616	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0405/07	Chansey	Chansey	Rare		12	$2.93	$4.99	$2.00	$12.00	$1.00	$1.75	$1.75	$0.23	$1.52	$5.25	$0.69	$4.56	2026-06-04 14:50:51
617	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0406/07	Chansey	Chansey	Double Rare		6	$3.71	$3.79	$3.63	$4.99	$1.00	$2.50	$2.50	$0.33	$2.17	$2.50	$0.33	$2.17	2026-06-04 14:50:51
619	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0501/07	Horsea	Horsea	Common		9	$1.99	$2.50	$1.99	$4.98	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
620	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0502/07	Horsea	Horsea	Common		9	$1.99	$2.09	$1.99	$4.98	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
622	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0504/07	Horsea	Horsea	Uncommon		7	$4.08	$4.98	$3.91	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$3.00	$0.40	$2.60	2026-06-04 14:50:51
623	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0505/07	Horsea	Horsea	Rare		10	$2.99	$4.98	$2.00	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$3.50	$0.46	$3.04	2026-06-04 14:50:51
624	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0506/07	Horsea	Horsea	Double Rare		16	$3.43	$3.71	$2.00	$5.44	$1.00	$2.25	$2.25	$0.30	$1.95	$2.25	$0.30	$1.95	2026-06-04 14:50:51
626	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0601/07	Sunflora	Sunflora	Common		7	$1.99	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
627	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0602/07	Sunflora	Sunflora	Common		5	$2.00	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
628	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0603/07	Sunflora	Sunflora	Uncommon		11	$2.00	$3.91	$1.99	$5.98	$1.00	$1.00	$1.00	$0.13	$0.87	$3.00	$0.39	$2.61	2026-06-04 14:50:51
629	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0604/07	Sunflora	Sunflora	Uncommon		3	$4.55	$5.03	$4.08	$5.98	$1.00	$3.50	$3.50	$0.46	$3.04	$7.00	$0.92	$6.08	2026-06-04 14:50:51
630	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0605/07	Sunflora	Sunflora	Rare		20	$2.12	$3.45	$1.79	$5.98	$1.00	$1.00	$1.00	$0.13	$0.87	$4.00	$0.52	$3.48	2026-06-04 14:50:51
633	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0701/07	Skarmory	Skarmory	Common		6	$2.00	$2.50	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$1.98	$0.26	$1.72	2026-06-04 14:50:51
634	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0702/07	Skarmory	Skarmory	Common		8	$1.99	$1.99	$1.99	$2.00	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
635	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0703/07	Skarmory	Skarmory	Uncommon		10	$3.04	$4.08	$1.99	$5.98	$1.00	$2.00	$2.00	$0.26	$1.74	$2.00	$0.26	$1.74	2026-06-04 14:50:51
636	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0704/07	Skarmory	Skarmory	Uncommon		9	$4.04	$5.98	$3.75	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$6.00	$0.80	$5.20	2026-06-04 14:50:51
637	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0705/07	Skarmory	Skarmory	Rare		16	$2.12	$2.75	$1.74	$5.98	$1.00	$1.00	$1.00	$0.13	$0.87	$6.00	$0.78	$5.22	2026-06-04 14:50:51
640	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0801/07	Houndoom	Houndoom	Common		5	$2.18	$2.37	$1.99	$2.74	$1.00	$1.00	$1.00	$0.13	$0.87	$6.00	$0.78	$5.22	2026-06-04 14:50:51
641	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0802/07	Houndoom	Houndoom	Common		7	$2.00	$2.96	$1.99	$11.51	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
642	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0803/07	Houndoom	Houndoom	Uncommon		7	$2.74	$3.54	$1.99	$4.08	$1.00	$1.50	$1.50	$0.20	$1.30	$1.50	$0.20	$1.30	2026-06-04 14:50:51
643	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0804/07	Houndoom	Houndoom	Uncommon		5	$3.43	$4.00	$1.99	$5.98	$1.00	$2.25	$2.25	$0.30	$1.95	$2.25	$0.30	$1.95	2026-06-04 14:50:51
644	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0805/07	Houndoom	Houndoom	Rare		3	$2.00	$2.00	$2.00	$2.00	$1.00	$1.00	$1.00	$0.13	$0.87	$5.00	$0.65	$4.35	2026-06-04 14:50:51
645	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0806/07	Houndoom	Houndoom	Double Rare		4	$3.72	$3.81	$3.63	$3.99	$1.00	$2.50	$2.50	$0.33	$2.17	$2.50	$0.33	$2.17	2026-06-04 14:50:51
647	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0901/07	Phanpy	Phanpy	Common		7	$2.00	$2.74	$1.99	$3.91	$1.00	$1.00	$1.00	$0.13	$0.87	$4.00	$0.52	$3.48	2026-06-04 14:50:51
648	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0902/07	Phanpy	Phanpy	Common		5	$2.56	$2.87	$2.00	$3.91	$1.00	$1.50	$1.50	$0.20	$1.30	$7.50	$1.00	$6.50	2026-06-04 14:50:51
649	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0903/07	Phanpy	Phanpy	Uncommon		6	$3.56	$4.08	$1.99	$5.98	$1.00	$2.50	$2.50	$0.33	$2.17	$5.00	$0.66	$4.34	2026-06-04 14:50:51
650	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0904/07	Phanpy	Phanpy	Uncommon		6	$2.99	$4.08	$1.99	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$3.50	$0.46	$3.04	2026-06-04 14:50:51
651	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0905/07	Phanpy	Phanpy	Rare		17	$2.50	$3.45	$1.79	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$4.50	$0.60	$3.90	2026-06-04 14:50:51
652	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0906/07	Phanpy	Phanpy	Double Rare		6	$3.26	$3.89	$2.63	$4.98	$1.00	$2.25	$2.25	$0.30	$1.95	$6.75	$0.90	$5.85	2026-06-04 14:50:51
654	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1001/07	Vibrava	Vibrava	Common		7	$1.99	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
655	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1002/07	Vibrava	Vibrava	Common		8	$2.00	$2.74	$1.99	$3.91	$1.00	$1.00	$1.00	$0.13	$0.87	$7.00	$0.91	$6.09	2026-06-04 14:50:51
656	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1003/07	Vibrava	Vibrava	Uncommon		6	$2.74	$2.99	$1.99	$4.08	$1.00	$1.50	$1.50	$0.20	$1.30	$10.50	$1.40	$9.10	2026-06-04 14:50:51
657	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1004/07	Vibrava	Vibrava	Uncommon		13	$3.83	$4.08	$1.99	$16.53	$1.00	$2.75	$2.75	$0.36	$2.39	$5.50	$0.72	$4.78	2026-06-04 14:50:51
658	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1005/07	Vibrava	Vibrava	Rare		16	$2.62	$3.91	$1.99	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$9.00	$1.20	$7.80	2026-06-04 14:50:51
659	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1006/07	Vibrava	Vibrava	Double Rare		9	$3.79	$3.99	$3.49	$4.73	$1.00	$2.75	$2.75	$0.36	$2.39	$8.25	$1.08	$7.17	2026-06-04 14:50:51
661	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1101/07	Chimecho	Chimecho	Common		6	$2.37	$2.74	$1.99	$2.99	$1.00	$1.25	$1.25	$0.17	$1.08	$7.50	$1.02	$6.48	2026-06-04 14:50:51
662	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1102/07	Chimecho	Chimecho	Common		5	$1.99	$2.49	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
663	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1103/07	Chimecho	Chimecho	Uncommon		6	$1.99	$3.91	$1.99	$5.98	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
664	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1104/07	Chimecho	Chimecho	Uncommon		9	$2.74	$4.00	$1.99	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$3.00	$0.40	$2.60	2026-06-04 14:50:51
665	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1105/07	Chimecho	Chimecho	Rare		13	$2.25	$4.73	$1.89	$5.98	$1.00	$1.25	$1.25	$0.17	$1.08	$5.00	$0.68	$4.32	2026-06-04 14:50:51
666	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1106/07	Chimecho	Chimecho	Double Rare		7	$5.66	$6.32	$4.99	$7.98	$1.00	$4.50	$4.50	$0.60	$3.90	$4.50	$0.60	$3.90	2026-06-04 14:50:51
668	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1201/07	Spheal	Spheal	Common		8	$1.99	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
669	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1202/07	Spheal	Spheal	Common		7	$1.99	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
670	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1203/07	Spheal	Spheal	Uncommon		7	$1.99	$4.08	$1.79	$5.98	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
671	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1204/07	Spheal	Spheal	Uncommon		9	$3.37	$4.08	$1.99	$16.53	$1.00	$2.25	$2.25	$0.30	$1.95	$4.50	$0.60	$3.90	2026-06-04 14:50:51
672	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1205/07	Spheal	Spheal	Rare		15	$2.99	$3.99	$2.00	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$5.25	$0.69	$4.56	2026-06-04 14:50:51
673	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1206/07	Spheal	Spheal	Double Rare		10	$4.47	$4.87	$2.24	$12.99	$1.00	$3.25	$3.25	$0.43	$2.82	$9.75	$1.29	$8.46	2026-06-04 14:50:51
675	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1301/07	Latios	Latios	Common		6	$1.99	$2.49	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
676	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1302/07	Latios	Latios	Common		5	$2.00	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
678	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1304/07	Latios	Latios	Uncommon		8	$1.99	$3.04	$1.99	$5.98	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
679	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1305/07	Latios	Latios	Rare		14	$2.50	$5.49	$1.99	$5.99	$1.00	$1.50	$1.50	$0.20	$1.30	$6.00	$0.80	$5.20	2026-06-04 14:50:51
680	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1306/07	Latios	Latios	Double Rare		9	$3.69	$5.06	$3.25	$24.68	$1.00	$2.50	$2.50	$0.33	$2.17	$2.50	$0.33	$2.17	2026-06-04 14:50:51
682	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1401/07	Timburr	Timburr	Common		8	$1.99	$2.37	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
683	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1402/07	Timburr	Timburr	Common		9	$2.00	$2.18	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
684	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1403/07	Timburr	Timburr	Uncommon		5	$3.74	$4.08	$1.99	$5.98	$1.00	$2.50	$2.50	$0.33	$2.17	$5.00	$0.66	$4.34	2026-06-04 14:50:51
685	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1404/07	Timburr	Timburr	Uncommon		7	$3.08	$4.08	$1.79	$5.98	$1.00	$2.00	$2.00	$0.26	$1.74	$12.00	$1.56	$10.44	2026-06-04 14:50:51
686	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1405/07	Timburr	Timburr	Rare		11	$2.87	$2.99	$2.00	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$3.50	$0.46	$3.04	2026-06-04 14:50:51
689	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1501/07	Joltik	Joltik	Common		8	$1.99	$2.37	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$7.92	$1.04	$6.88	2026-06-04 14:50:51
690	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1502/07	Joltik	Joltik	Common		11	$1.99	$2.37	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$6.93	$0.91	$6.02	2026-06-04 14:50:51
692	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1504/07	Joltik	Joltik	Uncommon		10	$3.87	$4.08	$2.74	$5.98	$1.00	$2.75	$2.75	$0.36	$2.39	$2.75	$0.36	$2.39	2026-06-04 14:50:51
693	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1505/07	Joltik	Joltik	Rare		13	$2.75	$3.91	$1.79	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$7.50	$1.00	$6.50	2026-06-04 14:50:51
694	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1506/07	Joltik	Joltik	Double Rare		6	$6.49	$6.99	$5.99	$7.98	$1.00	$5.25	$5.25	$0.70	$4.55	$5.25	$0.70	$4.55	2026-06-04 14:50:51
696	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1601/07	Stunfisk	Stunfisk	Common		12	$2.00	$2.46	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
697	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1602/07	Stunfisk	Stunfisk	Common		11	$2.19	$2.81	$1.99	$2.99	$1.00	$1.00	$1.00	$0.13	$0.87	$6.00	$0.78	$5.22	2026-06-04 14:50:51
698	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1603/07	Stunfisk	Stunfisk	Uncommon		8	$2.80	$3.37	$1.99	$4.08	$1.00	$1.75	$1.75	$0.23	$1.52	$8.75	$1.15	$7.60	2026-06-04 14:50:51
699	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1604/07	Stunfisk	Stunfisk	Uncommon		5	$2.74	$3.54	$1.99	$4.08	$1.00	$1.50	$1.50	$0.20	$1.30	$3.00	$0.40	$2.60	2026-06-04 14:50:51
700	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1605/07	Stunfisk	Stunfisk	Rare		16	$2.56	$4.86	$1.79	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$4.50	$0.60	$3.90	2026-06-04 14:50:51
701	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1606/07	Stunfisk	Stunfisk	Double Rare		8	$2.98	$2.99	$2.33	$3.79	$1.00	$1.75	$1.75	$0.23	$1.52	$1.75	$0.23	$1.52	2026-06-04 14:50:51
703	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1701/07	Braviary	Braviary	Common		5	$1.99	$2.00	$1.99	$2.74	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
704	8	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1702/07	Braviary	Braviary	Common		9	$1.99	$2.09	$1.99	$3.73	$1.00	$0.99	$0.99	$0.13	$0.86	$7.92	$1.04	$6.88	2026-06-04 14:50:51
705	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1703/07	Braviary	Braviary	Uncommon		8	$2.24	$3.54	$1.99	$5.98	$1.00	$1.00	$1.00	$0.13	$0.87	$5.00	$0.65	$4.35	2026-06-04 14:50:51
706	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1704/07	Braviary	Braviary	Uncommon		9	$2.99	$3.91	$1.79	$5.98	$1.00	$1.75	$1.75	$0.23	$1.52	$7.00	$0.92	$6.08	2026-06-04 14:50:51
707	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1705/07	Braviary	Braviary	Rare		14	$3.03	$5.86	$2.00	$5.98	$1.00	$2.00	$2.00	$0.26	$1.74	$4.00	$0.52	$3.48	2026-06-04 14:50:51
708	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1706/07	Braviary	Braviary	Double Rare		5	$2.81	$2.99	$2.63	$3.00	$1.00	$1.75	$1.75	$0.23	$1.52	$5.25	$0.69	$4.56	2026-06-04 14:50:51
710	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1801/07	Vivillon	Vivillon	Common		10	$1.99	$2.00	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
711	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1802/07	Vivillon	Vivillon	Common		7	$2.74	$2.99	$1.99	$3.91	$1.00	$1.50	$1.50	$0.20	$1.30	$9.00	$1.20	$7.80	2026-06-04 14:50:51
712	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1803/07	Vivillon	Vivillon	Uncommon		5	$4.08	$5.98	$3.74	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$15.00	$2.00	$13.00	2026-06-04 14:50:51
713	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1804/07	Vivillon	Vivillon	Uncommon		5	$4.08	$5.03	$4.08	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$15.00	$2.00	$13.00	2026-06-04 14:50:51
714	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1805/07	Vivillon	Vivillon	Rare		7	$3.24	$4.99	$1.99	$5.98	$1.00	$2.00	$2.00	$0.26	$1.74	$8.00	$1.04	$6.96	2026-06-04 14:50:51
715	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1806/07	Vivillon	Vivillon	Double Rare		3	$3.68	$4.36	$3.00	$5.72	$1.00	$2.50	$2.50	$0.33	$2.17	$7.50	$0.99	$6.51	2026-06-04 14:50:51
717	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1901/07	Raboot	Raboot	Common		5	$2.00	$2.50	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$3.96	$0.52	$3.44	2026-06-04 14:50:51
718	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1902/07	Raboot	Raboot	Common		7	$1.99	$2.00	$1.99	$3.91	$1.00	$0.99	$0.99	$0.13	$0.86	$4.95	$0.65	$4.30	2026-06-04 14:50:51
719	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1903/07	Raboot	Raboot	Uncommon		5	$3.43	$4.00	$1.99	$4.08	$1.00	$2.25	$2.25	$0.30	$1.95	$13.50	$1.80	$11.70	2026-06-04 14:50:51
720	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1904/07	Raboot	Raboot	Uncommon		6	$4.08	$4.08	$3.91	$5.98	$1.00	$3.00	$3.00	$0.40	$2.60	$6.00	$0.80	$5.20	2026-06-04 14:50:51
721	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1905/07	Raboot	Raboot	Rare		13	$2.50	$4.73	$1.79	$5.98	$1.00	$1.50	$1.50	$0.20	$1.30	$4.50	$0.60	$3.90	2026-06-04 14:50:51
724	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	2001/07	Applin	Applin	Common		8	$2.00	$2.09	$1.99	$2.99	$1.00	$0.99	$0.99	$0.13	$0.86	$5.94	$0.78	$5.16	2026-06-04 14:50:51
