card_id	quantity	language	set_code	set_name	card_number	card_name	pokemon_name	rarity	holo_pattern	pricing_source_used	listing_count	marketplace_listing_count	variation_listing_count	p25_total_cents	p25_total	mean_total_cents	mean_total	median_total_cents	median_total	min_total_cents	min_total	max_total_cents	max_total	stddev_total_cents	stddev_total	estimated_shipping_cents	estimated_shipping	LISTING_PRICE_CENTS	LISTING_PRICE	unit_gross_after_shipping_cents	unit_gross_after_shipping	unit_marketplace_fee_cents	unit_marketplace_fee	unit_net_after_fee_cents	unit_net_after_fee	total_gross_after_shipping_cents	total_gross_after_shipping	total_marketplace_fee_cents	total_marketplace_fee	total_net_after_fee_cents	total_net_after_fee	snapshot_created_at
619	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0501/07	Horsea	Horsea	Common		combined_raw	8	5	3	199.75	$2.00	277.375	$2.77	216.5	$2.17	199	$1.99	498	$4.98	112.3018095516338	$1.12	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	594	$5.94	78	$0.78	516	$5.16	recalculated_from_raw
620	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0502/07	Horsea	Horsea	Common		combined_raw	10	5	5	200.0	$2.00	253.9	$2.54	225.5	$2.25	199	$1.99	498	$4.98	91.47974882149843	$0.91	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	600	$6.00	78	$0.78	522	$5.22	recalculated_from_raw
622	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0504/07	Horsea	Horsea	Uncommon		combined_raw	5	4	1	391.0	$3.91	439.0	$4.39	408.0	$4.08	300	$3.00	598	$5.98	113.30048543585328	$1.13	100	$1.00	275	$2.75	275	$2.75	36	$0.36	239	$2.39	275	$2.75	36	$0.36	239	$2.39	recalculated_from_raw
623	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0505/07	Horsea	Horsea	Rare		combined_raw	9	5	4	249.0	$2.49	380.0	$3.80	400.0	$4.00	200	$2.00	598	$5.98	138.6614582355169	$1.39	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	250	$2.50	34	$0.34	216	$2.16	recalculated_from_raw
624	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0506/07	Horsea	Horsea	Double Rare		combined_raw	11	8	3	337.0	$3.37	389.6363636363636	$3.90	363.0	$3.63	200	$2.00	600	$6.00	116.76324141378804	$1.17	100	$1.00	225	$2.25	225	$2.25	30	$0.30	195	$1.95	225	$2.25	30	$0.30	195	$1.95	recalculated_from_raw
626	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0601/07	Sunflora	Sunflora	Common		combined_raw	8	4	4	199.75	$2.00	245.5	$2.46	216.5	$2.17	199	$1.99	391	$3.91	68.30603403590554	$0.68	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	594	$5.94	78	$0.78	516	$5.16	recalculated_from_raw
627	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0602/07	Sunflora	Sunflora	Common		combined_raw	7	3	4	199.5	$2.00	237.85714285714286	$2.38	200.0	$2.00	199	$1.99	391	$3.91	69.98673343672255	$0.70	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	396	$3.96	52	$0.52	344	$3.44	recalculated_from_raw
628	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0603/07	Sunflora	Sunflora	Uncommon		combined_raw	9	6	3	200.0	$2.00	313.77777777777777	$3.14	299.0	$2.99	199	$1.99	598	$5.98	133.36208023439212	$1.33	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	300	$3.00	39	$0.39	261	$2.61	recalculated_from_raw
629	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0604/07	Sunflora	Sunflora	Uncommon		combined_raw	5	2	3	243.0	$2.43	355.6	$3.56	300.0	$3.00	229	$2.29	598	$5.98	152.7262256457613	$1.53	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	250	$2.50	34	$0.34	216	$2.16	recalculated_from_raw
630	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0605/07	Sunflora	Sunflora	Rare		combined_raw	15	10	5	200.0	$2.00	311.4	$3.11	250.0	$2.50	179	$1.79	598	$5.98	126.1018862439643	$1.26	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	400	$4.00	52	$0.52	348	$3.48	recalculated_from_raw
633	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0701/07	Skarmory	Skarmory	Common		combined_raw	8	4	4	199.75	$2.00	245.5	$2.46	216.5	$2.17	199	$1.99	391	$3.91	68.30603403590554	$0.68	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	198	$1.98	26	$0.26	172	$1.72	recalculated_from_raw
634	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0702/07	Skarmory	Skarmory	Common		combined_raw	5	2	3	199.0	$1.99	206.2	$2.06	200.0	$2.00	199	$1.99	233	$2.33	14.989996664442591	$0.15	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	693	$6.93	91	$0.91	602	$6.02	recalculated_from_raw
635	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0703/07	Skarmory	Skarmory	Uncommon		combined_raw	6	3	3	207.25	$2.07	322.3333333333333	$3.22	264.5	$2.65	199	$1.99	598	$5.98	156.66354606821162	$1.57	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	100	$1.00	13	$0.13	87	$0.87	recalculated_from_raw
636	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0704/07	Skarmory	Skarmory	Uncommon		combined_raw	7	4	3	271.5	$2.71	363.42857142857144	$3.63	375.0	$3.75	229	$2.29	598	$5.98	125.50014228791024	$1.26	100	$1.00	150	$1.50	150	$1.50	20	$0.20	130	$1.30	300	$3.00	40	$0.40	260	$2.60	recalculated_from_raw
637	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0705/07	Skarmory	Skarmory	Rare		combined_raw	12	7	5	200.0	$2.00	315.5	$3.15	249.5	$2.50	174	$1.74	598	$5.98	141.63942697119074	$1.42	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	600	$6.00	78	$0.78	522	$5.22	recalculated_from_raw
640	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0801/07	Houndoom	Houndoom	Common		combined_raw	7	2	5	199.5	$2.00	235.42857142857142	$2.35	233.0	$2.33	199	$1.99	300	$3.00	40.06185693340214	$0.40	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	594	$5.94	78	$0.78	516	$5.16	recalculated_from_raw
641	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0802/07	Houndoom	Houndoom	Common		combined_raw	9	4	5	200.0	$2.00	346.22222222222223	$3.46	233.0	$2.33	199	$1.99	1151	$11.51	308.50315143357034	$3.09	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	500	$5.00	65	$0.65	435	$4.35	recalculated_from_raw
642	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0803/07	Houndoom	Houndoom	Uncommon		combined_raw	7	3	4	236.0	$2.36	296.85714285714283	$2.97	299.0	$2.99	199	$1.99	408	$4.08	81.73825822185628	$0.82	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	125	$1.25	17	$0.17	108	$1.08	recalculated_from_raw
643	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0804/07	Houndoom	Houndoom	Uncommon		combined_raw	7	4	3	214.5	$2.15	346.42857142857144	$3.46	391.0	$3.91	199	$1.99	598	$5.98	146.57291375837164	$1.47	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	100	$1.00	13	$0.13	87	$0.87	recalculated_from_raw
644	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0805/07	Houndoom	Houndoom	Rare		combined_raw	4	1	3	236.75	$2.37	387.5	$3.88	375.0	$3.75	200	$2.00	600	$6.00	193.5432768142567	$1.94	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	625	$6.25	85	$0.85	540	$5.40	recalculated_from_raw
645	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0806/07	Houndoom	Houndoom	Double Rare		combined_raw	3	2	1	321.0	$3.21	347.0	$3.47	363.0	$3.63	279	$2.79	399	$3.99	61.57921727336261	$0.62	100	$1.00	200	$2.00	200	$2.00	26	$0.26	174	$1.74	200	$2.00	26	$0.26	174	$1.74	recalculated_from_raw
647	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0901/07	Phanpy	Phanpy	Common		combined_raw	9	5	4	200.0	$2.00	248.66666666666666	$2.49	233.0	$2.33	199	$1.99	391	$3.91	64.59682654743962	$0.65	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	400	$4.00	52	$0.52	348	$3.48	recalculated_from_raw
648	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0902/07	Phanpy	Phanpy	Common		combined_raw	8	4	4	200.0	$2.00	254.875	$2.55	238.0	$2.38	199	$1.99	391	$3.91	66.12420671951925	$0.66	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	500	$5.00	65	$0.65	435	$4.35	recalculated_from_raw
649	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0903/07	Phanpy	Phanpy	Uncommon		combined_raw	5	3	2	229.0	$2.29	346.8	$3.47	300.0	$3.00	199	$1.99	598	$5.98	161.83232062848262	$1.62	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	250	$2.50	34	$0.34	216	$2.16	recalculated_from_raw
650	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0904/07	Phanpy	Phanpy	Uncommon		combined_raw	7	4	3	214.5	$2.15	319.0	$3.19	299.0	$2.99	199	$1.99	598	$5.98	143.28526325713565	$1.43	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	200	$2.00	26	$0.26	174	$1.74	recalculated_from_raw
651	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0905/07	Phanpy	Phanpy	Rare		combined_raw	12	8	4	236.75	$2.37	317.0833333333333	$3.17	286.5	$2.87	179	$1.79	598	$5.98	120.0351905471765	$1.20	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	375	$3.75	51	$0.51	324	$3.24	recalculated_from_raw
652	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	0906/07	Phanpy	Phanpy	Double Rare		combined_raw	4	3	1	275.0	$2.75	357.25	$3.57	334.0	$3.34	263	$2.63	498	$4.98	109.2775518271403	$1.09	100	$1.00	175	$1.75	175	$1.75	23	$0.23	152	$1.52	525	$5.25	69	$0.69	456	$4.56	recalculated_from_raw
654	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1001/07	Vibrava	Vibrava	Common		combined_raw	8	4	4	199.75	$2.00	242.375	$2.42	216.5	$2.17	199	$1.99	391	$3.91	66.04314066253534	$0.66	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	594	$5.94	78	$0.78	516	$5.16	recalculated_from_raw
655	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1002/07	Vibrava	Vibrava	Common		combined_raw	8	5	3	199.75	$2.00	250.625	$2.51	221.5	$2.21	199	$1.99	391	$3.91	68.77071116606047	$0.69	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	693	$6.93	91	$0.91	602	$6.02	recalculated_from_raw
656	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1003/07	Vibrava	Vibrava	Uncommon		combined_raw	7	5	2	251.5	$2.52	300.0	$3.00	299.0	$2.99	199	$1.99	408	$4.08	77.3132157741051	$0.77	100	$1.00	150	$1.50	150	$1.50	20	$0.20	130	$1.30	1050	$10.50	140	$1.40	910	$9.10	recalculated_from_raw
657	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1004/07	Vibrava	Vibrava	Uncommon		combined_raw	10	7	3	250.75	$2.51	466.9	$4.67	337.0	$3.37	199	$1.99	1653	$16.53	432.7489521137579	$4.33	100	$1.00	150	$1.50	150	$1.50	20	$0.20	130	$1.30	300	$3.00	40	$0.40	260	$2.60	recalculated_from_raw
658	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1005/07	Vibrava	Vibrava	Rare		combined_raw	12	8	4	236.75	$2.37	325.0	$3.25	286.5	$2.87	199	$1.99	598	$5.98	124.30973047557094	$1.24	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	750	$7.50	102	$1.02	648	$6.48	recalculated_from_raw
659	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1006/07	Vibrava	Vibrava	Double Rare		combined_raw	5	5	0	379.0	$3.79	411.8	$4.12	399.0	$3.99	349	$3.49	473	$4.73	52.812877217587754	$0.53	100	$1.00	275	$2.75	275	$2.75	36	$0.36	239	$2.39	825	$8.25	108	$1.08	717	$7.17	recalculated_from_raw
661	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1101/07	Chimecho	Chimecho	Common		combined_raw	7	3	4	199.5	$2.00	235.28571428571428	$2.35	233.0	$2.33	199	$1.99	299	$2.99	39.79411298887599	$0.40	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	594	$5.94	78	$0.78	516	$5.16	recalculated_from_raw
662	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1102/07	Chimecho	Chimecho	Common		combined_raw	6	3	3	199.25	$1.99	255.16666666666666	$2.55	221.5	$2.21	199	$1.99	391	$3.91	77.29532111755968	$0.77	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	396	$3.96	52	$0.52	344	$3.44	recalculated_from_raw
663	6	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1103/07	Chimecho	Chimecho	Uncommon		combined_raw	8	4	4	221.75	$2.22	321.875	$3.22	275.0	$2.75	199	$1.99	598	$5.98	137.66567940381614	$1.38	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	600	$6.00	78	$0.78	522	$5.22	recalculated_from_raw
664	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1104/07	Chimecho	Chimecho	Uncommon		combined_raw	8	6	2	237.5	$2.38	330.625	$3.31	299.5	$3.00	199	$1.99	598	$5.98	133.06704808371714	$1.33	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	250	$2.50	34	$0.34	216	$2.16	recalculated_from_raw
665	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1105/07	Chimecho	Chimecho	Rare		combined_raw	10	5	5	210.75	$2.11	323.6	$3.24	249.5	$2.50	189	$1.89	598	$5.98	142.12295146574087	$1.42	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	400	$4.00	52	$0.52	348	$3.48	recalculated_from_raw
666	1	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1106/07	Chimecho	Chimecho	Double Rare		combined_raw	4	3	1	444.0	$4.44	552.0	$5.52	565.5	$5.66	279	$2.79	798	$7.98	219.28216221723704	$2.19	100	$1.00	325	$3.25	325	$3.25	43	$0.43	282	$2.82	325	$3.25	43	$0.43	282	$2.82	recalculated_from_raw
668	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1201/07	Spheal	Spheal	Common		combined_raw	8	4	4	199.75	$2.00	230.875	$2.31	216.5	$2.17	199	$1.99	299	$2.99	38.897071134690115	$0.39	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	693	$6.93	91	$0.91	602	$6.02	recalculated_from_raw
669	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1202/07	Spheal	Spheal	Common		combined_raw	8	4	4	199.75	$2.00	244.375	$2.44	216.5	$2.17	199	$1.99	391	$3.91	67.3666672557197	$0.67	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	495	$4.95	65	$0.65	430	$4.30	recalculated_from_raw
670	4	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1203/07	Spheal	Spheal	Uncommon		combined_raw	8	4	4	199.75	$2.00	295.375	$2.95	239.5	$2.40	179	$1.79	598	$5.98	142.76848141559216	$1.43	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	396	$3.96	52	$0.52	344	$3.44	recalculated_from_raw
671	2	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1204/07	Spheal	Spheal	Uncommon		combined_raw	10	6	4	232.5	$2.33	450.3	$4.50	299.5	$3.00	199	$1.99	1653	$16.53	439.58870928782204	$4.40	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	250	$2.50	34	$0.34	216	$2.16	recalculated_from_raw
672	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1205/07	Spheal	Spheal	Rare		combined_raw	12	8	4	249.75	$2.50	351.5	$3.52	358.0	$3.58	200	$2.00	598	$5.98	112.90744399325897	$1.13	100	$1.00	125	$1.25	125	$1.25	17	$0.17	108	$1.08	375	$3.75	51	$0.51	324	$3.24	recalculated_from_raw
673	3	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1206/07	Spheal	Spheal	Double Rare		combined_raw	10	8	2	414.25	$4.14	559.9	$5.60	486.5	$4.87	224	$2.24	1299	$12.99	306.0531725769959	$3.06	100	$1.00	300	$3.00	300	$3.00	40	$0.40	260	$2.60	900	$9.00	120	$1.20	780	$7.80	recalculated_from_raw
675	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1301/07	Latios	Latios	Common		combined_raw	7	3	4	216.0	$2.16	266.2857142857143	$2.66	243.0	$2.43	199	$1.99	391	$3.91	68.87842982558541	$0.69	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	700	$7.00	91	$0.91	609	$6.09	recalculated_from_raw
676	7	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1302/07	Latios	Latios	Common		combined_raw	8	3	5	199.75	$2.00	234.125	$2.34	216.5	$2.17	199	$1.99	300	$3.00	43.79314199408722	$0.44	100	$1.00	99	$0.99	99	$0.99	13	$0.13	86	$0.86	693	$6.93	91	$0.91	602	$6.02	recalculated_from_raw
678	5	Simplified Chinese	CBB5C	Gem Pack Vol. 5	1304/07	Latios	Latios	Uncommon		combined_raw	8	4	4	200.0	$2.00	341.75	$3.42	264.5	$2.65	199	$1.99	600	$6.00	173.93163681663634	$1.74	100	$1.00	100	$1.00	100	$1.00	13	$0.13	87	$0.87	500	$5.00	65	$0.65	435	$4.35	recalculated_from_raw
